exc_prob,value
0.9999,3.310964252
0.999,3.8
0.99,5.3
0.98,6.5
0.95,9
0.9,12.19859907
0.8,21
0.7,31.24169369
0.6,45
0.5,60
0.4,81.56751616
0.3,114.1538796
0.2,169
0.1,293.2200923
0.05,458.4208516
0.02,761.8935495
0.01,1040
0.001,2320
0.0001,4766.26815
