count,zero_autumn_par_2079,one_autumn_par_2079,two_autumn_par_2079
163,0,3.55682E-14,2.44615E-29
164,0,3.24421E-15,1.35754E-27
165,0,1.9403E-16,3.88462E-26
166,0,6.16141E-18,8.30144E-25
167,0,2.94974E-19,1.38366E-23
168,0,4.45202E-20,1.33056E-22
169,0,1.04951E-20,6.60829E-22
170,0,1.87165E-21,6.53332E-21
171,0,1.65691E-22,1.48198E-19
172,0,5.91703E-24,2.1138E-18
173,0,8.37395E-26,1.76814E-17
174,0,6.75471E-28,1.17096E-16
175,0,7.51879E-30,2.46451E-15
176,0,6.73856E-32,7.83381E-14
177,0,2.89807E-34,1.11352E-12
178,0,8.66734E-37,6.33591E-12
179,0,1.59769E-38,2.80748E-11
180,0,6.28029E-40,3.08596E-10
181,0,1.17846E-41,2.53975E-09
182,0,1.37292E-43,1.40302E-08
183,0,1.36595E-45,8.80144E-08
184,0,7.4332E-48,4.52182E-07
185,0,1.60954E-50,1.35046E-06
186,0,1.29753E-53,3.36306E-06
187,0,3.85882E-57,6.95218E-06
188,0,4.29258E-61,1.14936E-05
189,0,2.3392E-65,3.11133E-05
190,0,6.01215E-69,5.98494E-05
191,0,1.51777E-71,0.000101525
192,0,2.10238E-74,0.000560986
193,0,1.09353E-77,0.003947451
194,0,2.17003E-81,0.020312774
195,0,1.96307E-85,0.061744847
196,0,1.34083E-89,0.103185639
197,0,7.4365E-94,0.105805607
198,0,3.6846E-98,0.124708411
199,0,3.4937E-101,0.149321158
200,0,3.4595E-104,0.12424144
201,0,1.4326E-107,0.075274009
202,0,2.5349E-111,0.071095223
203,0,1.9306E-115,0.213963877
204,0,8.805E-120,0.472733657
205,0,2.3684E-123,0.546213299
206,0,1.7618E-126,0.342638363
207,0,1.0493E-128,0.299676679
208,0,4.5229E-131,0.377965566
209,0,7.2734E-134,0.348877309
210,0,4.3053E-137,0.259654037
211,0,9.3784E-141,0.233219425
212,0,7.5181E-145,0.18961541
213,0,2.2179E-149,0.118403585
214,0,2.4079E-154,0.135593387
215,0,9.6225E-160,0.131146938
216,0,1.4228E-165,0.070570496
217,0,8.8284E-172,0.026224514
218,0,7.6165E-178,0.014673792
219,0,1.1738E-183,0.010996484
220,0,8.1677E-190,0.004932914
221,0,2.1101E-196,0.002091648
222,0,2.0068E-203,0.001561593
223,0,7.0239E-211,0.001166083
224,0,9.0559E-219,0.000731024
225,0,7.4597E-227,0.000307332
226,0,5.9481E-233,0.000102724
227,0,1.1389E-238,2.78713E-05
228,0,3.7177E-244,8.70472E-06
229,0,6.866E-250,3.92872E-06
230,0,4.8621E-256,9.7207E-07
231,0,1.2755E-262,1.15592E-07
232,0,1.4594E-269,1.71391E-08
233,0,1.5338E-275,3.78255E-09
234,0,3.7074E-281,8.42224E-10
235,0,3.5017E-287,1.85478E-10
236,0,1.4343E-293,2.93708E-11
237,0,1.0293E-299,3.71357E-12
238,0,4.6803E-305,3.84058E-13
239,0,1.17084391868132e-310,7.22824E-14
240,0,1.17125296841464e-316,2.1055E-14
241,0,6.91691904177745e-323,2.72758E-15
242,0,0,1.33238E-16
243,0,0,2.51741E-18
244,0,0,2.12523E-20
245,0,0,2.10936E-22
246,0,0,6.10148E-24
247,0,0,1.2014E-25
248,0,0,2.69112E-27
249,0,0,3.63295E-28
250,0,0,1.39212E-28
251,0,0,2.3144E-29
252,0,0,1.4244E-30
253,0,0,3.23274E-32
254,0,0,2.7105E-34
255,0,0,8.52649E-37
256,0,0,1.37091E-39
257,0,0,2.78075E-41
258,0,0,1.096E-42
259,0,0,1.80638E-44
260,0,0,2.03601E-46
261,0,0,2.88065E-48
262,0,0,2.39312E-50
263,0,0,7.80846E-53
264,0,0,9.84726E-56
265,0,0,1.30892E-58
266,0,0,3.64075E-60
267,0,0,2.3924E-61
268,0,0,8.42216E-63
269,0,0,1.17666E-64
270,0,0,6.41409E-67
271,0,0,1.56351E-69
272,0,0,2.54943E-72
273,0,0,7.05156E-75
274,0,0,3.42626E-77
275,0,0,8.33928E-80
276,0,0,7.66902E-83
277,0,0,2.67004E-86
278,0,0,6.91924E-90
279,0,0,1.01445E-92
280,0,0,4.39649E-95
281,0,0,4.83196E-97
282,0,0,1.18703E-98
283,0,0,1.5019E-100
284,0,0,7.2521E-103
285,0,0,1.3624E-105
286,0,0,1.1052E-108
287,0,0,6.6274E-112
288,0,0,4.5471E-114
289,0,0,1.7546E-115
290,0,0,3.0425E-117
291,0,0,1.9584E-119
292,0,0,4.6617E-122
293,0,0,4.115E-125
294,0,0,1.3544E-128
295,0,0,1.6785E-132
296,0,0,8.1432E-137
297,0,0,1.1777E-140
298,0,0,2.0721E-143
299,0,0,1.5367E-146
300,0,0,4.2299E-150
301,0,0,4.4065E-154
302,0,0,1.8655E-158
303,0,0,3.8494E-163
304,0,0,4.642E-168
305,0,0,2.9999E-173
306,0,0,9.0663E-179
307,0,0,1.4835E-184
308,0,0,2.3418E-189
309,0,0,2.8338E-193
310,0,0,1.6276E-197
311,0,0,5.5475E-202
312,0,0,2.0377E-206
313,0,0,5.8459E-211
314,0,0,9.1693E-216
315,0,0,4.2227E-220
316,0,0,3.0652E-223
317,0,0,1.2149E-226
318,0,0,2.8872E-230
319,0,0,1.2234E-233
320,0,0,6.3034E-237
321,0,0,1.4138E-240
322,0,0,1.276E-244
323,0,0,8.3147E-249
324,0,0,1.0086E-251
325,0,0,1.8234E-254
326,0,0,2.7763E-257
327,0,0,1.2714E-259
328,0,0,4.1355E-262
329,0,0,6.9733E-265
330,0,0,6.1341E-268
331,0,0,2.5776E-271
332,0,0,6.6867E-275
333,0,0,1.987E-278
334,0,0,3.9704E-282
335,0,0,3.2161E-286
336,0,0,9.6973E-291
337,0,0,1.0786E-295
338,0,0,4.4216E-301
339,0,0,6.7174E-307
340,0,0,4.61080716015078e-313
341,0,0,8.20479996079183e-319
342,0,0,0
343,0,0,0
344,0,0,0
345,0,0,0
346,0,0,0
347,0,0,0
348,0,0,0
349,0,0,0
350,0,0,0
